IMDB-ID,originalTitle,startYear,genres,documentLength
tt0037793,House of Dracula,1945,Fantasy Horror Sci-Fi,4635
tt0037826,The Jade Mask,1945,Horror Mystery Sci-Fi,6805
tt0038008,Pursuit to Algiers,1945,Adventure Crime Mystery,8365
tt0038048,San Antonio,1945,Western,11141
tt0038049,"Sanjûsangen-dô, tôshiya monogatari",1945,War,4446
tt0038089,Siluri umani,1954,War,4275
tt0038151,Tarzan and the Amazons,1945,Action Adventure,4947
tt0038170,Thrill of a Romance,1945,Musical Romance,9809
tt0038268,Zoku Sugata Sanshirô,1945,Action Adventure,3582
tt0038284,Abilene Town,1946,Romance Western,8142
tt0038338,The Beast with Five Fingers,1946,Horror Mystery,7706
tt0038392,California,1947,Romance Western,10922
tt0038494,Dressed to Kill,1946,Crime Mystery,9505
tt0038570,La gondola del diavolo,1946,Adventure,8817
tt0038577,Green for Danger,1946,Crime Mystery Thriller,11357
tt0038934,She-Wolf of London,1946,Crime Horror Mystery,6436
tt0039011,Tarzan and the Leopard Woman,1946,Action Adventure Romance,3760
tt0039032,The Thrill of Brazil,1946,Musical,12664
tt0039082,The Virginian,1946,Romance Western,7614
tt0039152,Angel and the Badman,1947,Romance Western,8861
tt0039271,Code of the West,1947,Western,6562
tt0039314,Det kom en gäst...,1947,Thriller,4328
tt0039403,La fumeria d'oppio,1947,Mystery Thriller,7045
tt0039428,Golden Earrings,1947,Adventure Romance War,7312
tt0039539,Krakatit,1948,Mystery Sci-Fi Thriller,7284
tt0039591,The Macomber Affair,1947,Adventure,8827
tt0039676,The October Man,1947,Crime Mystery,11179
tt0039750,Ramrod,1947,Romance Western,5992
tt0039887,Tarzan and the Huntress,1947,Action Adventure Romance,3359
tt0040076,Adventures of Don Juan,1948,Action Adventure Romance,10329
tt0040082,Albuquerque,1948,Western,9530
tt0040167,Black Bart,1948,Western,5950
tt0040175,Blood on the Moon,1948,Western,6628
tt0040245,Coroner Creek,1948,Western,7568
tt0040308,Easter Parade,1948,Musical Romance,9288
tt0040325,Escape,1948,Thriller,7629
tt0040353,Fighter Squadron,1948,Action War,8696
tt0040369,Fort Apache,1948,Action Adventure Western,10168
tt0040370,Four Faces West,1948,Western,6338
tt0040380,Fury at Furnace Creek,1948,Western,8560
tt0040477,Tômei ningen arawaru,1949,Sci-Fi,5148
tt0040724,Red River,1948,Action Adventure Romance,13641
tt0040789,Silver River,1948,Romance Western,11744
tt0040835,Station West,1948,Action Mystery Romance,6933
tt0040862,Tarzan and the Mermaids,1948,Action Adventure Romance,2551
tt0040867,Tex Granger: Midnight Rider of the Plains,1948,Action Western,5920
tt0040946,Wake of the Red Witch,1948,Action Adventure Romance,8161
tt0040965,Whispering Smith,1948,Western,8571
tt0040978,Yellow Sky,1948,Crime Western,6688
tt0040983,You Were Meant for Me,1948,Musical,11290
tt0041162,Batman and Robin,1949,Action Adventure Crime,18909
tt0041220,Calamity Jane and Sam Bass,1949,Western,8592
tt0041227,Captain China,1950,Action Adventure Romance,8617
tt0041253,Colorado Territory,1949,Western,8662
tt0041361,The Fighting Kentuckian,1949,Adventure Romance War,8650
tt0041571,Ladies of the Chorus,1948,Musical Romance,7707
tt0041610,Lust for Gold,1949,Adventure Crime Western,9424
tt0041625,The Man from Colorado,1948,Romance Western,7728
tt0041691,Nijiotoko,1949,Action Fantasy Horror,5488
tt0041866,She Wore a Yellow Ribbon,1949,Western,7615
tt0041947,Tarzan's Magic Fountain,1949,Action Adventure Fantasy,2663
tt0042189,Alice in Wonderland,1949,Action Animation Family,5761
tt0042206,Armored Car Robbery,1950,Action Adventure Crime,6408
tt0042256,The Black Rose,1950,Adventure History Romance,14159
tt0042279,Branded,1950,Crime Western,8550
tt0042332,Cinderella,1950,Animation Family Fantasy,5834
tt0042338,Colt .45,1950,Western,6925
tt0042344,Copper Canyon,1950,Western,10039
tt0042372,Dallas,1950,Romance Western,8049
tt0042383,"Davy Crockett, Indian Scout",1950,Adventure Western,6504
tt0042395,Devil's Doorway,1950,Romance Western,6073
tt0042426,The Eagle and the Hawk,1950,Western,8118
tt0042531,The Gunfighter,1950,Western,10771
tt0042629,Kansas Raiders,1950,Western,8276
tt0042639,Kike wadatsumi no koe: Nippon senbotsu gakusei shuki,1950,War,6166
tt0042646,King Solomon's Mines,1950,Action Adventure Romance,6430
tt0042744,Montana,1950,Western,7931
tt0042877,Der Rat der Götter,1950,History,8234
tt0042895,Rio Grande,1950,Romance Western,6673
tt0042899,Rocky Mountain,1950,Action Adventure Western,7937
tt0043012,Summer Stock,1950,Musical Romance,12200
tt0043015,Sunset in the West,1950,Western,5457
tt0043067,Treasure Island,1950,Adventure Family,16047
tt0043117,Wagon Master,1950,Adventure Western,6225
tt0043134,The White Tower,1950,Adventure,5720
tt0043262,Across the Wide Missouri,1951,Adventure Romance Western,4092
tt0043274,Alice in Wonderland,1951,Adventure Animation Family,11928
tt0043276,Along the Great Divide,1951,Adventure Romance Western,5333
tt0043408,The Cimarron Kid,1952,Western,7755
tt0043557,Fort Worth,1951,Western,9150
tt0043647,El hombre sin rostro,1950,Horror Mystery Thriller,6717
tt0043703,Kekec,1951,Adventure Family,3600
tt0043778,The Man from Planet X,1951,Horror Romance Sci-Fi,7028
tt0043781,Man in the Saddle,1951,Romance Western,6344
tt0043885,Only the Valiant,1951,Adventure Western,8833
tt0043992,Santa Fe,1951,Western,8217
tt0044070,Starlift,1951,Musical,12075
tt0044087,Sugarfoot,1951,Action Romance Western,8916
tt0044121,The Thing from Another World,1951,Horror Sci-Fi,11649
tt0044135,Tomahawk,1951,History Romance Western,6416
tt0044207,When Worlds Collide,1951,Action Sci-Fi Thriller,13347
tt0044344,Alraune,1952,Horror Sci-Fi,8132
tt0044378,Venetian Bird,1952,Crime Mystery Thriller,9396
tt0044380,At Sword's Point,1952,Adventure History,5380
tt0044413,Bend of the River,1952,Action Adventure Romance,17415
tt0044423,The Black Castle,1952,Horror Mystery Thriller,7576
tt0044488,Carson City,1952,Western,8033
tt0044537,Denver and Rio Grande,1952,Adventure Western,7485
tt0044573,The Duel at Silver Creek,1952,Western,8603
tt0044656,Ghost Ship,1952,Horror,5294
tt0044683,Hangman's Knot,1952,Romance Western,5419
tt0044698,Hellgate,1952,Western,7323
tt0044710,Wyoming Roundup,1952,Western,4192
tt0044722,Horizons West,1952,Western,7255
tt0044881,Manina... La fille sans voile,1952,Adventure Romance,5434
tt0044953,The Naked Spur,1953,Thriller Western,7320
tt0045053,The Prisoner of Zenda,1952,Adventure,9237
tt0045070,Rancho Notorious,1952,Western,8787
tt0045077,The Redhead from Wyoming,1953,Western,9137
tt0045123,The Savage,1952,Action Romance Western,8404
tt0045160,Snegurochka,1952,Animation Musical,4375
tt0045184,Springfield Rifle,1952,War Western,8596
tt0045185,Die Spur führt nach Berlin,1952,Crime Thriller,3295
tt0045339,The World in His Arms,1952,Action Adventure History,10689
