,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
"game, play, team",-0.02109967323485762,-0.0018459501887093666,0.0009432211622879549,0.023113675431886804,0.010121904414518212,-0.007629554505911074,0.022511212027893635,-5.4771349368820665e-05,-3.097742273894255e-05,0.012579256404023909,-9.914203633343277e-05,-1.806680484151002e-05,-0.0006822725645179162,-0.03196161779533213,-0.00010535072760831099,-0.04417872143380919,-0.6443208347318949
"ghost, ghosts, night",-0.0437338341243958,-0.04692798948599375,0.05775785449077375,-0.004877086932538077,-0.11632826588174794,-0.42107547392879496,0.016778957187625565,0.0002189738443121314,-0.0003096909426858474,0.447177395435574,-0.00010456871132191736,6.604823101952206e-05,-0.09778854375326773,-0.03941149182422521,-9.876278818410356e-05,0.009886924346574233,-0.06683098725177605
"guys, dude, party",-0.017888977978145704,0.03641012881803363,0.04404558437818196,0.3656634721392038,-0.06774084059361485,-0.26789735709917295,0.05809320186381228,-5.554473000302096e-05,-0.00026084386627189815,0.03459806944556476,4.37802658552755e-05,-8.819347567623481e-05,0.01968151485925773,-0.0047467327726735675,-0.00024119961562973913,0.0022177387781994184,0.11393027641532982
"heart, today, love",0.02915212589141447,0.015344145216658944,-0.04591725001773739,0.15708169831850682,0.03479579227678187,0.0924906408363313,0.012584798075977233,-0.00010125869903276907,0.00012183055287096067,0.04976020894719113,-8.202239769161679e-06,5.8190243180433754e-05,0.09101198047574144,0.026217852977424627,-7.921513042674633e-05,0.024940050821442128,0.0059481033333268485
"human, world, virus",0.13064185411349172,0.012135874214436626,0.10683946438803105,-0.06318430027386057,-0.0823179980252462,-0.11763250211515697,-0.018024462356379445,-0.00015674509904783918,-0.0002012440327234799,0.049400406365748495,1.4284863937064074e-05,-5.825573339279799e-05,-0.013966528440505499,0.18243167351465672,-0.0005108770633341919,-0.16434288241589456,0.045001973778507676
"jack, yoÏ…, alex",-0.006814724899641078,0.004782355189036025,0.01486580540858995,0.015998974066860683,0.006677082116766542,-0.0022115174961072626,0.002295471396337234,-0.0002604917106054927,4.279883523850003e-05,0.012568709895731445,-5.518293249906492e-05,-6.19960410404019e-05,0.007432734559415621,0.005442638536692357,-0.00020140704600635218,0.00944590418197322,0.054627442562021955
"kill, dead, killed",0.15713149045041064,-0.009966690224246122,-0.14471950808547263,-0.15436302737361984,0.07588710061827442,-0.15145287092491344,-0.0527917840918235,9.416633656655904e-05,-0.00018884245764638763,0.24940670116484398,-6.118000055721495e-05,0.0002013463781622704,-0.10267392126115737,0.02712070355664764,0.0005646442514262162,-0.0032905704415497894,0.12043454437089607
"king, princess, queen",-0.017949577584658982,0.073194381679059,0.021776853485789616,0.01957360485994286,0.009644989992011688,-0.029712107072555227,0.02410902160772821,0.00010083912638947368,8.016646461328492e-06,-0.17543966405173705,-0.00016258600180663052,-6.905531790835084e-05,-0.06012090312651708,0.011920293749426492,-0.00011576785618672147,-0.0069169975088527735,-0.019019689723648314
"laughs, chuckles, sighs",0.0020725296453747433,-0.016731883798456693,-0.04210083061525438,-0.025385154138348298,0.03590314426583063,0.08730484884836187,0.014470753909336054,1.1082529454142787e-05,0.00014888907162458054,0.049239860203670105,-5.3100550303497585e-06,0.00010398916583653772,0.001031420292747498,0.013247348849972695,0.00020994888109271415,0.03437430280712306,0.06927591402798594
"leave, man, wait",-0.15593474109118688,0.012126267636631383,0.07162608598264342,0.01351508769857901,-0.009453340329400817,0.1258087664937193,-0.003728881232746062,7.791746429575142e-05,4.859084128838731e-05,-0.08611150146680302,3.465131976554403e-05,-5.350521132641006e-05,-0.003871710126986727,0.004336768404755276,-0.0002457913287798874,-0.017532554249896748,0.16420525783602735
"love, life, heart",-0.07354804047281505,-0.006803477062703678,0.06661833638827375,-0.188779861766875,-0.017436853486287873,0.19680379398232617,0.010585066895146156,0.00015475377585971728,0.00013604922335730407,-0.11834756977987126,0.00029002182782278396,-4.507313497015275e-05,0.12130764388712123,-0.005618390343443025,-0.00012399552360875532,-0.0038500692062370945,0.08888345034584821
"love, married, wife",-0.11431268553860718,-0.03930532553931698,-0.009097330656004488,0.27343581356399227,-0.048037108572316356,-0.13963605866229045,-0.01851566270488547,-9.573617717251182e-06,0.0001521567032796156,-0.1077689153389656,9.476626655668952e-05,1.3521457731258124e-05,0.21430477644025814,-0.014793315593124134,-0.0003340764742461033,0.012697324513283093,0.13744993392483007
"love, sex, women",-0.13969491446914617,-0.04657626002517645,-0.10990081932322937,0.2886819709383417,-0.026494009132875362,-0.08433044575212989,-0.11582463407103205,-3.680841291497927e-05,-0.0003367669551153085,0.0001291845583182294,3.161869267387374e-05,-1.2357977539068088e-06,0.055057532401406206,0.008226394133089343,-0.00014534833826473914,-0.06593652038100117,0.0833126130414843
"love, stop, leave",-0.13707791790147894,0.008307320335006807,0.032503669268407975,0.15670502046850743,0.026433657444613345,0.00888745206702879,-0.0007036599017737899,2.1362046936701518e-05,0.00013924605718784733,-0.15035157079182682,0.00012523490181592933,-9.363350545754656e-05,-0.002258700071251951,-0.012866949391536764,-0.00022514353622682393,0.004916282249268988,0.09934358857124326
"man, dear, sir",-0.029658869600098114,-0.011673278426314937,-0.00126678621290921,0.011845465029182378,0.0359510005082484,0.06867024349139683,0.015967564930178924,-5.298766518535558e-05,-1.9645915017463267e-05,0.04743332098223618,-5.983761002426036e-05,-1.14766153274104e-05,0.03129069302667631,-0.0005136470408615423,7.743779860902578e-05,0.0203150322113288,0.1054944333961556
