params,mean_test_jaccard_sim,rank_test_jaccard_sim,mean_test_f1_micro,rank_test_f1_micro,mean_test_f1_macro,rank_test_f1_macro,mean_test_f1_weighted,rank_test_f1_weighted,mean_test_f1_samples,rank_test_f1_samples,mean_test_hamming_loss,rank_test_hamming_loss,mean_test_accuracy_percentage,rank_test_accuracy_percentage,mean_test_accuracy_number,rank_test_accuracy_number
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 0.1}",0.412424951267056,225,0.477700705053626,215,0.256636865466564,259,0.406910570739949,229,0.49024171539961,227,0.103529411764706,571,0.208771929824561,81,178.5,81
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1.0}",0.320458089668616,505,0.362830153114088,299,0.042327419481104,421,0.19335204993463,409,0.387582846003899,505,0.115280357757138,173,0.154736842105263,465,132.3,465
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 10.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 100.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': None, 'classifier__decision_function_shape': 'ovr', 'classifier__gamma': 1000.0}",0.320604288499025,293,0.362792020065797,337,0.04206656645529,459,0.192910897145975,447,0.387680311890838,293,0.115252837977296,223,0.155087719298246,253,132.6,253
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-09}",0.207247563352827,643,0.31085808840047,641,0.27060538790241,255,0.340005351805668,307,0.300077972709552,643,0.197681458548332,27,0.006081871345029,667,5.2,667
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-08}",0.355384015594542,289,0.470457914115947,267,0.393722434681527,199,0.491548857531049,217,0.464495126705653,287,0.142222222222222,135,0.083040935672515,539,71,539
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-07}",0.418703703703704,205,0.530515949297848,203,0.438594053417247,49,0.541759140828399,151,0.52882261208577,203,0.122394220846233,155,0.128070175438597,517,109.5,517
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-06}",0.441298245614035,187,0.546372042162387,183,0.442488978698042,23,0.552121720660106,61,0.549134502923977,187,0.115438596491228,171,0.152514619883041,503,130.4,503
"{'classifier__C': 1000000.0, 'classifier__class_weight': 'balanced', 'classifier__decision_function_shape': 'ovo', 'classifier__gamma': 1e-05}",0.453538011695906,167,0.554763447285787,69,0.444996588935238,13,0.556967683217239,19,0.559610136452242,167,0.111792225662195,443,0.167836257309942,231,143.5,231
