,1930,1940,1950,1960,1970,1980,1990,2000,2010
"police, killed, found",0.006994289919020957,0.00014743694100616267,0.000196871432763146,5.1671047913259827e-05,5.781890195066808e-06,-1.5183217215053446e-05,5.0103929027045524e-05,7.408139572362415e-05,0.030081763882662926
"school, class, teacher",-0.011026788216440764,5.955030155746499e-05,8.715888452570653e-05,9.356549526273739e-06,-7.955308774398873e-06,1.2695180430455366e-05,1.5181713024503551e-06,2.949034114863025e-05,0.0011493768806758453
"show, sing, play",-0.0002710995941015426,9.528372538625263e-05,-1.777375928213587e-05,-1.516800159606646e-05,1.3219660104368813e-05,-7.416605058097048e-05,-4.972523129254114e-06,5.943304131506011e-05,-0.028144924494881707
"sir, man, morning",0.04056250536450534,-3.8021076761651784e-05,0.00015899540449026972,-4.535535720151529e-05,-9.444161241844995e-05,4.042382465740957e-05,-6.821829356340459e-05,4.1260282159782946e-05,-0.01049163039715495
"spanish, pesos, jos̩",-0.14680689607757813,-9.319439254795725e-05,-6.473680312524266e-05,5.02333286931389e-05,-0.00011000901167790289,-5.5126063898569555e-05,1.7641896107534194e-05,-5.09474871250859e-05,-0.010762902154738185
"time, life, understand",-0.13031264302935597,0.0001542514341963397,5.225239056017017e-05,9.854215022642165e-05,0.00017031724746630061,2.6802445972862188e-05,7.527821890107589e-05,0.00010956442974929814,0.04510705298253015
"time, power, planet",-0.13750964238715824,-0.00023979676552698947,3.972942374730337e-05,-1.198086465592496e-06,-0.00011395255341994925,-2.0681036403402686e-05,6.363490683725104e-06,-6.400959864549804e-05,0.042467317226510204
"time, talk, things",-0.015725877498823593,0.00031346798095910344,0.00033852222622954287,9.538985966628388e-05,-1.723844343359815e-05,6.850504360045306e-05,3.423680118430639e-05,5.22548870094397e-05,0.08226036546784599
"village, people, work",0.0626204624265938,-4.45974276317429e-05,-5.472230441228021e-06,2.2669081772619393e-05,1.0387169822934084e-05,-1.4668644325865898e-06,-5.4916130466153845e-05,-5.187391525396379e-05,0.0322158867033977
"wait, home, stop",0.11384876488148166,5.6544801736890804e-05,1.674511963756231e-05,0.00018017296770267421,-8.995798043542891e-05,-5.790530485683121e-05,-7.310848832275951e-05,3.333119093440473e-05,0.01219512435272918
"war, men, army",-0.0008169760724285879,0.0001773491585481679,3.361359267728403e-05,5.503346346813487e-05,2.81656073184422e-05,-5.937080186413368e-05,2.54005535680335e-05,2.4529014808649663e-05,0.042495364022215654
"world, power, monster",0.004563401685118151,1.3131718333170284e-05,-5.708559001504909e-05,-2.5191152417392004e-05,2.0530079837044468e-05,3.054400076507591e-05,-4.264075960236369e-05,7.407671455439413e-05,0.02508193192352337
"write, book, read",0.024779500330623705,-7.830176400602795e-06,-1.5341320249717683e-05,-7.952518808451714e-05,-7.674203288843273e-05,5.4427271152235335e-06,-4.180519908913993e-05,-7.288485903700348e-07,0.03501635232112221
